STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,1,0,14.77
ARH,2015,1,1,1,14.53
ARH,2015,1,1,2,14.5
ARH,2015,1,1,3,14.51
ARH,2015,1,1,4,14.62
ARH,2015,1,1,5,14.81
ARH,2015,1,1,6,15.01
ARH,2015,1,1,7,15
ARH,2015,1,1,8,15
ARH,2015,1,1,9,15
ARH,2015,1,1,10,14.95
ARH,2015,1,1,11,14.94
ARH,2015,1,1,12,14.9
ARH,2015,1,1,13,14.87
ARH,2015,1,1,14,14.96
ARH,2015,1,1,15,14.94
ARH,2015,1,1,16,15.09
ARH,2015,1,1,17,15.13
ARH,2015,1,1,18,15.27
ARH,2015,1,1,19,15.43
ARH,2015,1,1,20,15.58
ARH,2015,1,1,21,15.49
ARH,2015,1,1,22,15.5
ARH,2015,1,1,23,15.4
ARH,2015,1,2,0,15.46
ARH,2015,1,2,1,15.47
ARH,2015,1,2,2,15.47
ARH,2015,1,2,3,15.57
ARH,2015,1,2,4,15.66
ARH,2015,1,2,5,15.57
ARH,2015,1,2,6,16.4
ARH,2015,1,2,7,16.59
ARH,2015,1,2,8,16.49
ARH,2015,1,2,9,16.68
ARH,2015,1,2,10,17.05
ARH,2015,1,2,11,17.55
ARH,2015,1,2,12,17.57
ARH,2015,1,2,13,17.34
ARH,2015,1,2,14,17.21
ARH,2015,1,2,15,17.08
ARH,2015,1,2,16,9999.99
ARH,2015,1,2,17,17.49
ARH,2015,1,2,18,17.21
ARH,2015,1,2,19,17.09
ARH,2015,1,2,20,16.97
ARH,2015,1,2,21,16.59
ARH,2015,1,2,22,16.19
ARH,2015,1,2,23,15.96
ARH,2015,1,3,0,16.02
ARH,2015,1,3,1,18.3
ARH,2015,1,3,2,18.71
ARH,2015,1,3,3,18.92
ARH,2015,1,3,4,18.36
ARH,2015,1,3,5,18.46
ARH,2015,1,3,6,18.28
ARH,2015,1,3,7,17.07
ARH,2015,1,3,8,15.9
ARH,2015,1,3,9,15.97
ARH,2015,1,3,10,16.72
ARH,2015,1,3,11,16.65
ARH,2015,1,3,12,18.61
ARH,2015,1,3,13,19.43
ARH,2015,1,3,14,19.63
ARH,2015,1,3,15,19.44
ARH,2015,1,3,16,19.21
ARH,2015,1,3,17,19.1
ARH,2015,1,3,18,19.28
ARH,2015,1,3,19,19.04
ARH,2015,1,3,20,18.86
ARH,2015,1,3,21,18.63
ARH,2015,1,3,22,18.45
ARH,2015,1,3,23,18.58
ARH,2015,1,4,0,18.75
ARH,2015,1,4,1,18.67
ARH,2015,1,4,2,18.73
ARH,2015,1,4,3,18.44
ARH,2015,1,4,4,18.28
ARH,2015,1,4,5,18.17
ARH,2015,1,4,6,18.64
ARH,2015,1,4,7,18.54
ARH,2015,1,4,8,16.94
ARH,2015,1,4,9,15.9
ARH,2015,1,4,10,15.96
ARH,2015,1,4,11,15.28
ARH,2015,1,4,12,14.37
ARH,2015,1,4,13,14.09
ARH,2015,1,4,14,14.56
ARH,2015,1,4,15,14.46
ARH,2015,1,4,16,14.02
ARH,2015,1,4,17,13.32
ARH,2015,1,4,18,13.06
ARH,2015,1,4,19,9999.99
ARH,2015,1,4,20,9999.99
ARH,2015,1,4,21,12.79
ARH,2015,1,4,22,12.8
ARH,2015,1,4,23,12.93
ARH,2015,1,5,0,13.12
ARH,2015,1,5,1,12.99
ARH,2015,1,5,2,9999.99
ARH,2015,1,5,3,9999.99
ARH,2015,1,5,4,14.34
ARH,2015,1,5,5,14.44
ARH,2015,1,5,6,14.4
ARH,2015,1,5,7,13.88
ARH,2015,1,5,8,13.62
ARH,2015,1,5,9,13.65
ARH,2015,1,5,10,13.63
ARH,2015,1,5,11,13.47
ARH,2015,1,5,12,13.34
ARH,2015,1,5,13,13.47
ARH,2015,1,5,14,15.26
ARH,2015,1,5,15,16.8
ARH,2015,1,5,16,9999.99
ARH,2015,1,5,17,17.33
ARH,2015,1,5,18,17.6
